source,target,value
AFST 250,AFST 351,1
AFST 351,AFST 250,1
AFST 250,AFST 352,1
AFST 352,AFST 250,1
ENGL 1XX,AFST 370,0.14
ENGL 2XX,AFST 370,0.14
ARTS 001,AFST 370,0.14
ASTU 100,AFST 370,0.14
ASTU 101,AFST 370,0.14
WRDS 150,AFST 370,0.14
WRDS 350,AFST 370,0.14
CLST 231,AMNE 316,0.5
AMNE 215,AMNE 316,0.5
CLST 231,AMNE 317,0.5
AMNE 215,AMNE 317,0.5
CLST 232,AMNE 318,0.5
AMNE 216,AMNE 318,0.5
CLST 232,AMNE 319,0.5
AMNE 216,AMNE 319,0.5
CLST 231,AMNE 323,0.17
AMNE 215,AMNE 323,0.17
CLST 232,AMNE 323,0.17
AMNE 216,AMNE 323,0.17
CLST 260,AMNE 323,0.17
AMNE 225,AMNE 323,0.17
CLST 105,AMNE 348,0.5
AMNE 151,AMNE 348,0.5
ANTH 100,ANTH 200,1
ANTH 300,ANTH 400,1
ANTH 312,ANTH 412,1
ANTH 215,ANTH 416,0.5
ANTH 315,ANTH 416,0.5
ANTH 100,ANTH 417,0.5
LING 200,ANTH 417,0.5
ANTH 100,ANTH 427,0.5
SOCI 100,ANTH 427,0.5
ANTH 341,ANTH 431,1
ANTH 341,ANTH 432,0.5
ANTH 100,ANTH 480,1
BIOL 121,APBI 210,0.33
BIOL 140,APBI 210,0.33
SCIE 001,APBI 210,0.33
BIOL 112,APBI 235,1
BIOL 121,APBI 235,1
BIOL 140,APBI 235,1
BIOL 204,APBI 311,1
BIOL 260,APBI 311,0.5
BIOL 361,APBI 311,0.5
BIOL 204,APBI 312,0.5
BIOL 260,APBI 312,0.5
BIOL 230,APBI 319,0.08
APBI 260,APBI 319,0.08
APBI 265,APBI 319,0.08
CONS 330,APBI 319,0.08
ENVR 200,APBI 319,0.08
ENVR 300,APBI 319,0.08
BIOL 121,APBI 324,1
BIOL 121,APBI 327,1
BIOL 121,APBI 342,1
BIOL 121,APBI 351,1
CHEM 123,APBI 351,0.5
CHEM 111,APBI 351,0.5
CHEM 113,APBI 351,0.5
BIOL 230,APBI 360,0.33
APBI 260,APBI 360,0.33
APBI 265,APBI 360,0.33
APBI 260,APBI 365,0.33
APBI 265,APBI 365,0.33
APBI 200,APBI 401,1
APBI 200,APBI 402,1
APBI 200,APBI 403,1
APBI 210,APBI 405,0.5
BIOL 210,APBI 405,0.5
BIOL 201,APBI 410,1
APBI 311,APBI 410,0.5
CAPS 301,APBI 410,0.5
BIOL 201,APBI 411,1
APBI 315,APBI 413,1
APBI 314,APBI 414,0.5
APBI 315,APBI 414,0.5
APBI 315,APBI 416,0.5
BIOL 416,APBI 416,0.5
CONS 330,APBI 416,0.5
APBI 311,APBI 418,0.33
BIOL 204,APBI 418,0.33
BIOL 260,APBI 418,0.33
APBI 311,APBI 419,0.33
BIOL 204,APBI 419,0.33
BIOL 260,APBI 419,0.33
APBI 200,APBI 423,1
FRST 201,APBI 423,0.33
APBI 260,APBI 423,0.33
BIOL 230,APBI 423,0.33
BIOL 200,APBI 426,1
BIOC 202,APBI 426,0.17
BIOC 203,APBI 426,0.17
BIOL 201,APBI 426,0.17
BIOL 233,APBI 426,0.17
BIOL 234,APBI 426,0.17
BIOL 260,APBI 426,0.17
BIOL 205,APBI 427,0.5
BIOL 327,APBI 427,0.5
APBI 327,APBI 427,0.5
BIOL 121,APBI 428,1
BIOL 335,APBI 440,1
APBI 440,BIOL 335,1
BIOL 112,APBI 442,1
BIOL 121,APBI 442,1
BIOL 200,APBI 442,0.25
BIOL 201,APBI 442,0.25
APBI 210,APBI 442,0.25
BIOL 210,APBI 442,0.25
BIOL 112,APBI 443,0.5
BIOL 121,APBI 443,0.5
APBI 360,APBI 460,0.5
BIOL 300,APBI 462,0.25
GEOG 374,APBI 462,0.25
FRST 231,APBI 462,0.25
LFS 252,APBI 462,0.25
APBI 327,APBI 463,0.5
BIOL 327,APBI 463,0.5
BIOL 300,APBI 463,0.2
GEOG 374,APBI 463,0.2
FRST 231,APBI 463,0.2
LFS 252,APBI 463,0.2
STAT 200,APBI 463,0.2
APBI 365,APBI 465,1
BIOL 230,APBI 495,0.5
FRST 395,APBI 495,0.5
APBI 315,APBI 495,0.5
APBI 416,APBI 495,0.5
APBI 314,APBI 496,0.5
APBI 315,APBI 496,0.5
APSC 100,APSC 101,1
APSC 172,APSC 173,1
APSC 172,APSC 178,1
APSC 173,APSC 178,1
APSC 178,APSC 173,1
APSC 176,APSC 201,0.14
ENGL 110,APSC 201,0.14
ENGL 111,APSC 201,0.14
ENGL 112,APSC 201,0.14
ENGL 120,APSC 201,0.14
ENGL 121,APSC 201,0.14
WRDS 150,APSC 201,0.14
APSC 176,APSC 202,0.17
ENGL 110,APSC 202,0.17
ENGL 111,APSC 202,0.17
ENGL 112,APSC 202,0.17
ENGL 120,APSC 202,0.17
ENGL 121,APSC 202,0.17
ENPH 259,APSC 202,1
APSC 202,ENPH 259,1
APSC 202,APSC 203,1
ENPH 253,APSC 203,1
APSC 203,ENPH 253,1
APSC 110,APSC 210,1
APSC 278,APSC 279,1
APSC 279,APSC 278,1
APSC 331,APSC 332,1
APSC 461,APSC 462,1
ARBC 101,ARBC 102,1
ARBC 102,ARBC 201,1
ARBC 201,ARBC 202,1
ARBC 202,ARBC 420,1
ARBM 101,ARBM 102,1
ARCL 203,ARCL 305,1
ARCL 305,ARCL 306,1
ARCL 232,ARCL 324,1
ARCL 140,ARCL 325,1
ARCL 140,ARCL 326,1
ARCL 103,ARCL 345,0.33
ARCL 203,ARCL 345,0.33
FSCT 201,ARCL 345,0.33
ARCL 305,ARCL 406,1
ARCL 305,ARCL 411,0.5
ARCL 321,ARCL 411,0.5
ARCL 203,ARCL 419,1
ARCL 203,ARCL 424,1
ARCL 203,ARCL 430,1
ARTC 100,ARTC 110,1
ARTC 110,ARTC 200,1
ARTC 200,ARTC 210,1
ARTC 110,ARTC 211,1
ARTC 210,ARTC 300,0.5
ARTC 211,ARTC 300,0.5
ARTC 300,ARTC 310,1
ARTC 210,ARTC 311,0.5
ARTC 211,ARTC 311,0.5
ARTC 310,ARTC 400,0.5
ARTC 311,ARTC 400,0.5
ARTC 400,ARTC 410,1
ARTC 310,ARTC 411,0.5
ARTC 311,ARTC 411,0.5
ARTC 410,ARTC 445,0.5
ARTC 411,ARTC 445,0.5
ARTC 445,ARTC 450,1
ARTC 410,ARTC 451,0.5
ARTC 411,ARTC 451,0.5
ARTC 450,ARTC 456,0.5
ARTC 451,ARTC 456,0.5
ARTC 456,ARTC 460,1
ARTC 450,ARTC 461,0.5
ARTC 451,ARTC 461,0.5
ARTH 300,ARTH 490,1
CHIN 207,ASIA 386,0.11
CHIN 337,ASIA 386,0.11
CHIN 208,ASIA 386,0.11
CHIN 338,ASIA 386,0.11
CHIN 217,ASIA 386,0.11
CHIN 347,ASIA 386,0.11
CHIN 218,ASIA 386,0.11
CHIN 348,ASIA 386,0.11
ASIA 300,ASIA 400,1
CHIN 207,ASIA 400,0.07
CHIN 208,ASIA 400,0.07
CHIN 337,ASIA 400,0.07
CHIN 338,ASIA 400,0.07
CHIN 217,ASIA 400,0.07
CHIN 218,ASIA 400,0.07
CHIN 347,ASIA 400,0.07
CHIN 348,ASIA 400,0.07
JAPN 213,ASIA 400,0.07
JAPN 251,ASIA 400,0.07
JAPN 323,ASIA 400,0.07
JAPN 361,ASIA 400,0.07
KORN 300,ASIA 400,0.07
KORN 301,ASIA 400,0.07
KORN 302,ASIA 400,0.07
ASIA 327,ASIA 427,0.08
ASIA 347,ASIA 427,0.08
ASIA 357,ASIA 427,0.08
ASIA 447,ASIA 427,0.08
ASIA 452,ASIA 427,0.08
ASIA 457,ASIA 427,0.08
ASIA 347,ASIA 447,0.25
ASIA 357,ASIA 447,0.25
ASIA 369,ASIA 448,1
ASIA 347,ASIA 452,0.25
ASIA 357,ASIA 452,0.25
ASIA 447,ASIA 452,0.25
ASIA 457,ASIA 452,0.25
ASIA 357,ASIA 457,0.5
ASIA 376,ASIA 468,0.2
ASIA 381,ASIA 468,0.2
ASIA 382,ASIA 468,0.2
ASIA 383,ASIA 468,0.2
ASIA 387,ASIA 468,0.2
ASLA 300,ASLA 400,0.5
ASL 100,ASL 101,0.5
PHYS 11,ASTR 101,0.33
PHYS 12,ASTR 101,0.33
PHYS 100,ASTR 101,0.33
Principles of Mathematics 12,ASTR 101,1
PHYS 11,ASTR 102,0.33
PHYS 12,ASTR 102,0.33
PHYS 100,ASTR 102,0.33
Principles of Mathematics 12,ASTR 102,1
PHYS 101,ASTR 200,0.07
PHYS 106,ASTR 200,0.07
PHYS 107,ASTR 200,0.07
PHYS 117,ASTR 200,0.07
PHYS 131,ASTR 200,0.07
PHYS 157,ASTR 200,0.07
PHYS 153,ASTR 200,0.07
MATH 101,ASTR 200,0.13
MATH 103,ASTR 200,0.13
MATH 105,ASTR 200,0.13
MATH 121,ASTR 200,0.13
SCIE 001,ASTR 200,0.5
ASTR 200,ASTR 205,1
PHYS 210,ASTR 205,0.25
EOSC 211,ASTR 205,0.25
CPSC 302,ASTR 205,0.25
CPSC 303,ASTR 205,0.25
ASTR 205,ASTR 300,1
PHYS 210,ASTR 300,0.25
EOSC 211,ASTR 300,0.25
CPSC 302,ASTR 300,0.25
CPSC 303,ASTR 300,0.25
MATH 217,ASTR 300,0.33
ASTR 300,MATH 217,0.33
MATH 227,ASTR 300,0.33
ASTR 300,MATH 227,0.33
MATH 317,ASTR 300,0.33
ASTR 300,MATH 317,0.33
PHYS 101,ASTR 333,0.08
PHYS 102,ASTR 333,0.08
PHYS 106,ASTR 333,0.08
PHYS 107,ASTR 333,0.08
PHYS 108,ASTR 333,0.08
PHYS 117,ASTR 333,0.08
PHYS 118,ASTR 333,0.08
PHYS 131,ASTR 333,0.08
PHYS 153,ASTR 333,0.08
PHYS 157,ASTR 333,0.08
PHYS 158,ASTR 333,0.08
SCIE 001,ASTR 333,0.08
MATH 200,ASTR 333,0.05
MATH 217,ASTR 333,0.05
MATH 253,ASTR 333,0.05
STAT 200,ASTR 333,0.05
STAT 203,ASTR 333,0.05
STAT 241,ASTR 333,0.05
BIOL 300,ASTR 333,0.05
COMM 291,ASTR 333,0.05
ECON 325,ASTR 333,0.05
EPSE 482,ASTR 333,0.05
EPSE 483,ASTR 333,0.05
FRST 231,ASTR 333,0.05
GEOG 374,ASTR 333,0.05
KIN 371,ASTR 333,0.05
POLI 380,ASTR 333,0.05
PSYC 217,ASTR 333,0.05
PSYC 218,ASTR 333,0.05
PSYC 277,ASTR 333,0.05
PSYC 278,ASTR 333,0.05
PSYC 366,ASTR 333,0.05
SOCI 328,ASTR 333,0.05
PHYS 200,ASTR 403,0.5
PHYS 250,ASTR 403,0.5
PHYS 210,ASTR 404,1
PHYS 408,ASTR 404,1
PHYS 312,ASTR 404,0.5
MATH 316,ASTR 404,0.5
ASTR 404,ASTR 405,1
PHYS 203,ASTR 406,1
PHYS 301,ASTR 406,1
MATH 215,ASTR 406,1
ASTR 300,ASTR 406,1
PHYS 210,ASTR 407,0.5
EOSC 211,ASTR 407,0.5
MATH 217,ASTR 407,0.33
MATH 227,ASTR 407,0.33
MATH 317,ASTR 407,0.33
MATH 316,ASTR 407,0.5
PHYS 312,ASTR 407,0.5
ASTR 200,ASTR 407,0.5
EOSC 212,ASTR 407,0.5
PHYS 206,ASTR 407,0.25
ASTR 407,PHYS 206,0.25
PHYS 216,ASTR 407,0.25
ASTR 407,PHYS 216,0.25
PHYS 306,ASTR 407,0.25
ASTR 407,PHYS 306,0.25
EOSC 352,ASTR 407,0.25
ASTR 407,EOSC 352,0.25
ASTU 210,ASTU 211,0.5
EDUC 210,ASTU 211,0.5
ASTU 310,ASTU 311,1
ASTU 311,ASTU 410,1
ASTU 410,ASTU 411,1
ASTU 411,ASTU 412,1
CPSC 103,ATSC 212,0.5
CPSC 110,ATSC 212,0.5
PHYS 102,ATSC 301,0.13
PHYS 108,ATSC 301,0.13
PHYS 118,ATSC 301,0.13
PHYS 158,ATSC 301,0.13
EOSC 211,ATSC 303,1
ATSC 201,ATSC 303,0.33
GEOB 200,ATSC 303,0.33
GEOS 200,ATSC 303,0.33
MATH 101,ATSC 313,0.25
MATH 103,ATSC 313,0.25
MATH 105,ATSC 313,0.25
MATH 121,ATSC 313,0.25
PHYS 101,ATSC 313,0.17
PHYS 106,ATSC 313,0.17
PHYS 107,ATSC 313,0.17
PHYS 117,ATSC 313,0.17
PHYS 131,ATSC 313,0.17
PHYS 157,ATSC 313,0.17
APSC 160,ATSC 313,0.2
CPSC 103,ATSC 313,0.2
CPSC 110,ATSC 313,0.2
DSCI 100,ATSC 313,0.2
EOSC 211,ATSC 313,0.2
ATSC 201,ATSC 398,1
GEOB 300,ATSC 398,0.5
GEOS 300,ATSC 398,0.5
ATSC 398,ATSC 399,1
EOSC 352,ATSC 404,0.33
MATH 316,ATSC 404,0.33
PHYS 312,ATSC 404,0.33
EOSC 250,ATSC 404,0.33
MATH 217,ATSC 404,0.33
MATH 317,ATSC 404,0.33
MATH 215,ATSC 405,1
PHYS 203,ATSC 405,0.5
ATSC 405,PHYS 203,0.5
CHEM 304,ATSC 405,0.5
ATSC 405,CHEM 304,0.5
ATSC 201,ATSC 406,1
MATH 215,ATSC 409,0.13
MATH 255,ATSC 409,0.13
MATH 256,ATSC 409,0.13
MATH 265,ATSC 409,0.13
ATSC 399,ATSC 498,1
ATSC 303,ATSC 498,0.33
GEOB 304,ATSC 498,0.33
GEOS 304,ATSC 498,0.33
ATSC 498,ATSC 499,1
LING 100,AUDI 400,0.5
PSYC 100,AUDI 400,0.5
CHEM 121,BEST 200,1
BIOL 111,BEST 201,0.5
BIOL 121,BEST 201,0.5
BEST 201,BEST 203,1
BIOL 111,BEST 203,0.5
BIOL 121,BEST 203,0.5
CHEM 203,BEST 300,0.5
CHEM 233,BEST 300,0.5
BEST 202,BEST 301,1
BEST 200,BEST 302,1
BEST 300,BEST 303,1
BEST 302,BEST 304,1
BEST 203,BEST 308,1
BEST 300,BEST 400,1
ECON 101,BEST 401,1
BEST 200,BEST 402,1
CHEM 203,BIOC 202,0.33
CHEM 223,BIOC 202,0.33
CHEM 233,BIOC 202,0.33
BIOL 200,BIOC 203,1
CHEM 203,BIOC 203,0.5
CHEM 223,BIOC 203,0.5
CHEM 213,BIOC 203,1
BIOC 203,CHEM 213,1
BIOC 300,BIOC 301,0.33
BIOC 301,BIOC 300,0.33
BIOC 302,BIOC 301,0.33
BIOC 301,BIOC 302,0.33
BIOC 303,BIOC 301,0.33
BIOC 301,BIOC 303,0.33
BIOL 201,BIOC 302,0.33
BIOC 202,BIOC 302,0.33
BIOC 203,BIOC 302,0.33
CHEM 203,BIOC 302,0.33
CHEM 223,BIOC 302,0.33
CHEM 233,BIOC 302,0.33
BIOC 203,BIOC 303,0.33
BIOC 202,BIOC 303,0.33
BIOL 201,BIOC 303,0.33
CHEM 213,BIOC 303,0.5
CHEM 205,BIOC 303,0.5
CHEM 233,BIOC 303,0.5
CHEM 213,BIOC 304,1
BIOC 303,BIOC 304,1
BIOC 304,BIOC 303,1
BIOC 398,BIOC 399,1
BIOC 302,BIOC 402,0.33
