id,title,dept,size,depth
AFST 351,AFST 351,AFST,1,1
AFST 250,AFST 250,AFST,2,0
AFST 352,AFST 352,AFST,1,1
AFST 370,AFST 370,AFST,7,1
ENGL 1XX,ENGL 1XX,ENGL,0,0
ENGL 2XX,ENGL 2XX,ENGL,0,0
ARTS 001,ARTS 001,ARTS,0,0
ASTU 100,ASTU 100,ASTU,0,0
ASTU 101,ASTU 101,ASTU,0,0
WRDS 150,WRDS 150,WRDS,0,0
WRDS 350,WRDS 350,WRDS,0,0
AMNE 316,AMNE 316,AMNE,2,1
CLST 231,CLST 231,CLST,0,0
AMNE 215,AMNE 215,AMNE,0,0
AMNE 317,AMNE 317,AMNE,2,1
AMNE 318,AMNE 318,AMNE,2,1
CLST 232,CLST 232,CLST,0,0
AMNE 216,AMNE 216,AMNE,0,0
AMNE 319,AMNE 319,AMNE,2,1
AMNE 323,AMNE 323,AMNE,6,1
CLST 260,CLST 260,CLST,0,0
AMNE 225,AMNE 225,AMNE,0,0
AMNE 348,AMNE 348,AMNE,2,1
CLST 105,CLST 105,CLST,0,0
AMNE 151,AMNE 151,AMNE,0,0
ANTH 200,ANTH 200,ANTH,1,1
ANTH 100,ANTH 100,ANTH,0,0
ANTH 300,ANTH 300,ANTH,0,0
ANTH 400,ANTH 400,ANTH,1,1
ANTH 412,ANTH 412,ANTH,1,1
ANTH 312,ANTH 312,ANTH,0,0
ANTH 416,ANTH 416,ANTH,2,1
ANTH 215,ANTH 215,ANTH,0,0
ANTH 315,ANTH 315,ANTH,0,0
ANTH 417,ANTH 417,ANTH,2,1
LING 200,LING 200,LING,0,0
ANTH 427,ANTH 427,ANTH,2,1
SOCI 100,SOCI 100,SOCI,0,0
ANTH 431,ANTH 431,ANTH,1,1
ANTH 341,ANTH 341,ANTH,0,0
ANTH 432,ANTH 432,ANTH,1,1
ANTH 480,ANTH 480,ANTH,1,1
APBI 210,APBI 210,APBI,3,2
BIOL 121,BIOL 121,BIOL,4,1
BIOL 140,BIOL 140,BIOL,4,1
SCIE 001,SCIE 001,SCIE,8,1
APBI 235,APBI 235,APBI,3,2
BIOL 112,BIOL 112,BIOL,7,1
APBI 311,APBI 311,APBI,3,3
BIOL 204,BIOL 204,BIOL,4,2
BIOL 260,BIOL 260,BIOL,3,2
BIOL 361,BIOL 361,BIOL,2,3
APBI 312,APBI 312,APBI,2,3
APBI 314,APBI 314,APBI,0,0
APBI 315,APBI 315,APBI,0,0
APBI 319,APBI 319,APBI,6,1
BIOL 230,BIOL 230,BIOL,2,2
APBI 260,APBI 260,APBI,0,0
APBI 265,APBI 265,APBI,0,0
CONS 330,CONS 330,CONS,3,1
ENVR 200,ENVR 200,ENVR,0,0
ENVR 300,ENVR 300,ENVR,0,0
APBI 324,APBI 324,APBI,1,2
APBI 327,APBI 327,APBI,1,2
APBI 342,APBI 342,APBI,1,2
APBI 351,APBI 351,APBI,4,2
CHEM 123,CHEM 123,CHEM,2,2
CHEM 111,CHEM 111,CHEM,2,1
CHEM 113,CHEM 113,CHEM,0,0
APBI 360,APBI 360,APBI,3,1
APBI 365,APBI 365,APBI,2,1
APBI 401,APBI 401,APBI,1,1
APBI 200,APBI 200,APBI,0,0
APBI 402,APBI 402,APBI,1,1
APBI 403,APBI 403,APBI,1,1
APBI 405,APBI 405,APBI,2,3
BIOL 210,BIOL 210,BIOL,2,2
APBI 410,APBI 410,APBI,3,4
BIOL 201,BIOL 201,BIOL,6,3
CAPS 301,CAPS 301,CAPS,15,2
APBI 411,APBI 411,APBI,1,4
APBI 413,APBI 413,APBI,1,1
APBI 414,APBI 414,APBI,2,1
APBI 416,APBI 416,APBI,3,2
BIOL 416,BIOL 416,BIOL,2,3
APBI 418,APBI 418,APBI,3,3
APBI 419,APBI 419,APBI,3,3
APBI 423,APBI 423,APBI,4,1
FRST 201,FRST 201,FRST,1,3
